id_prosite,num_prosite,id_enzyme
119,PDOC00543,458
120,PDOC00482,488
121,PDOC00543,489
122,PDOC00392,490
123,PDOC00063,498
124,PDOC00392,498
125,PDOC00068,499
126,PDOC00068,501
127,PDOC00068,504
128,PDOC00068,505
129,PDOC00059,506
130,PDOC00847,507
131,PDOC00069,508
132,PDOC00069,509
133,PDOC00068,512
134,PDOC00068,515
135,PDOC00068,518
136,PDOC00068,520
137,PDOC00068,523
138,PDOC00068,524
139,PDOC00427,527
140,PDOC00941,534
141,PDOC00068,535
142,PDOC00940,537
143,PDOC00058,542
144,PDOC00069,555
145,PDOC00068,561
146,PDOC00608,566
147,PDOC00068,567
148,PDOC00069,568
149,PS00070,569
150,PDOC00058,572
151,PDOC00068,573
152,PDOC00068,574
153,PDOC00068,584
154,PDOC00484,593
155,PDOC00166,595
156,PDOC00597,596
157,PDOC00061,633
158,PDOC51176,642
159,PDOC00060,649
160,PDOC00061,650
161,PDOC00060,655
162,PDOC00060,658
163,PDOC00060,664
164,PDOC00060,668
165,PDOC51176,673
166,PDOC51014,684
167,PDOC00060,686
168,PDOC00060,688
169,PDOC00060,712
170,PDOC00058,714
171,PDOC00783,743
172,PDOC00081,749
173,PDOC00393,755
174,PDOC00708,756
175,PDOC00070,771
176,PDOC00070,773
177,PDOC00070,774
178,PDOC00070,776
179,PDOC00070,778
180,PDOC00708,782
181,PDOC00061,789
182,PDOC00070,795
183,PDOC00654,822
184,PDOC00071,823
185,PDOC00071,824
186,PDOC00071,825
187,PDOC00071,830
188,PDOC00406,834
189,PDOC00406,835
190,PDOC00068,839
191,PDOC00071,841
192,PDOC00573,846
193,PDOC00573,848
194,PDOC00815,850
195,PDOC00716,858
196,PDOC00406,873
197,PDOC00451,883
198,PDOC00072,884
199,PDOC00616,886
200,PDOC00068,887
201,PDOC00616,896
202,PDOC00060,914
203,PDOC00060,915
204,PDOC00674,934
205,PDOC00068,963
206,PDOC00073,986
207,PDOC00654,987
208,PDOC00394,995
209,PDOC00468,1012
210,PDOC00521,1012
211,PDOC00554,1012
212,PDOC00555,1012
213,PDOC00570,1012
214,PDOC00843,1012
215,PDOC00858,1012
216,PDOC00058,1014
217,PDOC00392,1028
218,PDOC00496,1039
219,PDOC00170,1051
220,PDOC00484,1051
221,PDOC00170,1052
222,PDOC00484,1052
223,PDOC00170,1053
224,PDOC00484,1053
225,PDOC00391,1057
226,PDOC00315,1074
227,PDOC00392,1078
228,PDOC00314,1081
229,PDOC00392,1086
230,PDOC00314,1092
231,PDOC00073,1094
232,PDOC00073,1097
233,PDOC00496,1099
234,PDOC00073,1102
235,PDOC00073,1106
236,PDOC00170,1114
237,PDOC00484,1114
238,PDOC00172,1121
239,PDOC00314,1139
240,PDOC00074,1147
241,PDOC00075,1147
242,PDOC00663,1147
243,PDOC00171,1153
244,PDOC00398,1154
245,PDOC00076,1155
246,PDOC00076,1156
247,PDOC00394,1176
248,PDOC00395,1177
249,PDOC00394,1178
250,PDOC00394,1179
251,PDOC00396,1180
252,PDOC51405,1181
253,PDOC00394,1182
254,PDOC00396,1183
255,PDOC00394,1184
256,PDOC00394,1185
257,PDOC00394,1187
258,PDOC00394,1194
259,PDOC00394,1195
260,PDOC00081,1197
261,PDOC00400,1204
262,PDOC00400,1206
263,PDOC00079,1230
264,PDOC00078,1231
265,PDOC00079,1232
266,PDOC00077,1241
267,PDOC00077,1260
268,PDOC00077,1262
269,PDOC00077,1263
270,PDOC00078,1268
271,PDOC00077,1269
272,PDOC00684,1281
273,PDOC00078,1285
274,PDOC00482,1312
275,PDOC00427,1315
276,PDOC00081,1325
277,PDOC00172,1350
278,PDOC51471,1350
279,PDOC01028,1352
280,PDOC51471,1352
281,PDOC51471,1355
282,PDOC51471,1357
283,PDOC51471,1359
284,PDOC51471,1361
285,PDOC51471,1363
286,PDOC51471,1367
287,PDOC51471,1368
288,PDOC51471,1370
289,PDOC51471,1371
290,PDOC51471,1372
291,PDOC51471,1373
292,PDOC00165,1374
293,PDOC51471,1374
294,PDOC00493,1399
295,PDOC00493,1406
296,PDOC00493,1408
297,PDOC00493,1414
298,PDOC00493,1415
299,PDOC00081,1430
300,PDOC00081,1431
301,PDOC00081,1432
302,PDOC00081,1436
303,PDOC00081,1447
304,PDOC00081,1449
305,PDOC00081,1456
306,PDOC00081,1460
307,PDOC00081,1466
308,PDOC00081,1467
309,PDOC00081,1468
310,PDOC00081,1471
311,PDOC00081,1472
312,PDOC00081,1474
313,PDOC00081,1475
314,PDOC00081,1476
315,PDOC00081,1486
316,PDOC00081,1487
317,PDOC00081,1489
318,PDOC00081,1490
319,PDOC00081,1492
320,PDOC00081,1493
321,PDOC00081,1494
322,PDOC00081,1495
323,PDOC00081,1496
324,PDOC00081,1497
325,PDOC00081,1498
326,PDOC00081,1499
327,PDOC00493,1501
328,PDOC00081,1504
329,PDOC00081,1506
330,PDOC00081,1507
331,PDOC00081,1508
332,PDOC00081,1510
333,PDOC00081,1512
334,PDOC00081,1513
335,PDOC00081,1514
336,PDOC00081,1515
337,PDOC00081,1516
338,PDOC00081,1517
339,PDOC00081,1518
340,PDOC00081,1519
341,PDOC00081,1521
342,PDOC00081,1523
343,PDOC00081,1528
344,PDOC00081,1531
345,PDOC00081,1538
346,PDOC00081,1540
347,PDOC00081,1570
348,PDOC00081,1617
349,PDOC00397,1619
350,PDOC00081,1632
351,PDOC00081,1634
352,PDOC00081,1635
353,PDOC00081,1636
354,PDOC00081,1637
355,PDOC00081,1639
356,PDOC00316,1645
357,PDOC00316,1646
358,PDOC00316,1648
359,PDOC00080,1651
360,PDOC00080,1653
361,PDOC51471,1654
362,PDOC00398,1655
363,PDOC00399,1658
